,Company Name,Highest Value,Lowest Value,Closing Value,Volume of Stock,Change (%),Change
67,Andlauer Healthcare Group Inc,45.22,44.61,44.81,"10,972",-0.19,0.42
68,Anaergia Inc,1.480,1.090,1.450,"570,172",0.360,33.03
69,Africa Oil Corp,2.930,2.810,2.830,"222,197",-0.080,2.75
70,Ascot Resources Ltd,0.5400,0.5100,0.5200,"330,457",0.0000,0.00
71,Allied Properties Real Estate Inv Trust,22.93,22.62,22.76,"166,315",0.00,0.00
72,Appili Therapeutics Inc,0.0350,0.0350,0.0350,"12,000",0.0000,0.00
73,Automotive Properties REIT,11.74,11.55,11.66,"26,000",0.10,0.87
74,Aptose Biosciences Inc,8.260,7.940,7.940,"4,920",-0.140,1.73
75,Algonquin Power and Utilities Corp,11.25,11.06,11.13,"4,583,814",-0.11,0.98
76,Algonquin Power and Utilities Pref A,19.56,19.52,19.56,"1,595",-0.01,0.05
77,Algonquin Power and Utilities Pref D,19.74,19.50,19.74,550,-0.26,1.30
78,Argonaut Gold Inc,0.6100,0.5800,0.5900,"1,012,616",0.0000,0.00
79,Argonaut Gold Inc 4.625%,82.00,82.00,82.00,"16,000",0.00,0.00
80,Aclara Resources Inc,0.5400,0.4700,0.5100,"295,116",0.0400,8.51
81,Accelerate Arbitrage Fund ETF,25.80,25.70,25.80,"1,920",0.00,0.00
82,Aecon Group Inc,13.42,13.17,13.29,"111,669",-0.09,0.67
83,Aecon Group Inc 5.0 Pct Debs,99.50,99.00,99.20,"41,999",0.14,0.14
84,Amerigo Resources Ltd,1.550,1.510,1.520,"157,480",0.000,0.00
85,Aris Gold Corporation,3.190,3.010,3.070,"194,818",-0.070,2.23
86,Aris Mining Corporation WT,0.2200,0.2200,0.2200,"27,000",0.0000,0.00
87,Aris Mining Corporation Wts B,1.1000,0.9900,0.9900,"6,400",-0.1100,10.00
88,BMO Ark Genomic Revolution Fund ETF,14.75,14.54,14.75,308,-0.09,0.61
89,BMO Ark Innovation Fund ETF,17.37,16.87,17.17,"6,172",-0.03,0.17
90,BMO Ark Next Gen Internet Fund ETF,18.42,18.37,18.42,"1,600",-0.02,0.11
91,Altius Renewable Royalties Corp,9.000,8.960,8.970,"12,768",-0.010,0.11
92,Arc Resources Ltd,17.48,16.86,16.94,"1,984,373",-0.35,2.02
93,Arizona Sonoran Copper Company Inc,1.760,1.700,1.720,"33,280",-0.050,2.82
94,Avino Silver and Gold Mines Ltd,0.9300,0.9200,0.9200,"11,900",-0.0100,1.08
95,Ascendant Resources Inc,0.1850,0.1800,0.1800,"11,500",-0.0050,2.70
96,Algoma Steel Group Inc,10.67,10.27,10.36,"59,708",-0.21,1.99
97,Algoma Steel Group Inc,2.100,1.950,1.950,"8,200",-0.150,7.14
98,Candente Copper Corp,0.5000,0.4900,0.5000,"50,700",-0.0200,3.85
99,Alimentation Couche-Tard Inc.,65.21,64.69,65.04,"911,164",0.20,0.31
100,Antibe Therapeutics Inc,0.5100,0.5000,0.5000,"1,490",-0.0200,3.85
101,Athabasca Oil Corp,2.880,2.750,2.760,"3,227,872",-0.090,3.16
102,Ats Corp,59.19,57.07,58.20,"171,404",-0.54,0.92
103,Accelerate Enhanced CDN Bm Alt Fund ETF,22.14,22.14,22.14,400,0.36,1.65
104,Aritzia Inc,36.66,35.55,36.56,"279,386",0.66,1.84
105,First Trst CBOE Vest US Eqty Buffer ETF,38.41,38.33,38.41,750,0.35,0.92
106,Golden Minerals Company,3.220,2.850,3.090,"12,805",0.150,5.10
107,Avicanna Inc,0.2900,0.2750,0.2800,"34,500",-0.0200,6.67
108,Avalon Advanced Materials Inc,0.1200,0.1100,0.1200,"452,097",0.0150,14.29
109,Avant Brands Inc,0.1450,0.1400,0.1400,"295,553",-0.0050,3.45
110,Avant Brands Inc WT,0.0050,0.0050,0.0050,"4,000",-0.0100,66.67
111,A&W Revenue Royalties Income Fund,35.80,35.25,35.80,"7,018",0.20,0.56
112,Artis REIT Pref Ser E,17.55,17.49,17.49,"1,100",-0.11,0.63
113,Artis REIT Pref Series I,19.35,19.03,19.03,"1,653",-0.22,1.14
114,Artis Real Estate Investment Trust Units,7.260,7.150,7.200,"690,716",-0.050,0.69
115,Axis Auto Finance Inc,0.1900,0.1850,0.1900,"50,000",0.0000,0.00
116,Aya Gold and Silver Inc,9.140,8.580,8.720,"136,026",-0.280,3.11
